type,url,modify,title,date,duration,description,thumbnail,tags,extra1,extra2
talk,https://www.youtube.com/watch?v=zDr6vgq2cdY,,"Latino/a/x Tableau User Group - Diciembre 9, 2021",2022-01-25,01:15:55,"Agenda:
I. Bienvenidos e Intro!
II. La importancia de unirnos como region
III. Lo que no sabías que se podía hacer en Tableau
IV. Juega Kahoot
V. Palabras finales y networking

Suscríbete para reci...",https://i.ytimg.com/vi/zDr6vgq2cdY/hqdefault.jpg,,,
video,https://www.youtube.com/watch?v=5Ln2osFZLoA,,Mastering Power Query: Part 1 (Beginners),2021-05-03,08:08,"This is the first video in a series of Power Query tutorials. In this video, I show you how to get the job done (even if it wasn't always the best way possible). Watch the next videos in the series...",https://i.ytimg.com/vi/5Ln2osFZLoA/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=TtgKyTvFcBE,,Mastering Power Query: Part 2 (Intermediate),2021-05-07,07:53,"This is the second video in a series of Power Query tutorials. In this video, I show you some best practices and how to avoid some nasty habits like renaming columns or leaving the change types in ...",https://i.ytimg.com/vi/TtgKyTvFcBE/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=Tp3AR7x5Jq8,,Mastering Power Query: Part 3 (Advanced),2021-06-04,08:25,"This is the third video in a series of Power Query tutorials. In this video, I show you how to use the Advanced Editor and some M language commands to make your Power Query work more robust.",https://i.ytimg.com/vi/Tp3AR7x5Jq8/hqdefault.jpg,,,
video,https://www.youtube.com/watch?v=tMXMEDTBAEM,,Mastering Power Query: Part 4 (Pro),2021-06-08,08:37,"This is the fourth video in a series of Power Query tutorials. In this video, I show you how to use the Advanced Editor and some M language commands to make your Power Query work more robust. Watch...",https://i.ytimg.com/vi/tMXMEDTBAEM/hqdefault.jpg,,,
video,https://www.youtube.com/watch?v=hGWWgwoROc8,,Mastering Power Query: Part 5 (Jedi),2021-06-15,09:00,"This is the fifth and final video in a series of Power Query tutorials. In this video, I show you how to turn an M script into a reusable function. True M mastery comes from making your work robust...",https://i.ytimg.com/vi/hGWWgwoROc8/maxresdefault.jpg,,,
talk,https://coalesce.getdbt.com/event/21662b38-2c17-4c10-9dd7-964fd652ab44/agenda?session=bdc32ba0-e8c3-4a28-bae4-9f97ef75713a&shareLink=true,,Coalesce 2025,,,"Coalesce is the premier analytics engineering conference for data practitioners, professionals and leaders looking to hone their craft, connect with peers, and get e.",,,,
talk,https://www.meetup.com/berlin-dbt-meetup/events/,,Berlin dbt Meetup Events,,,Find Meetup events so you can do more of what matters to you. Or create your own group and meet people near you who share your interests.,https://secure.meetupstatic.com/photos/event/d/a/d/1/600_497696017.jpeg,,,
video,https://www.youtube.com/watch?v=qbbX5hRjGNc,,Power BI Hacks: Evenly-Spaced Tables,2021-07-06,03:13,"Have you ever tried to evenly space the columns of a table or a matrix? You know, just like in Excel. Only to find out this is not possible out of the box? Well, today I share how to get it done. T...",https://i.ytimg.com/vi/qbbX5hRjGNc/maxresdefault.jpg,,,
talk,https://godatafest.com/broadcasts/power-bi-vs-tableau/,,Power BI vs Tableau: The Ultimate BI Tool for mature data organizations - GoDataFest,,,,,,,
